,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,PJM,erm Stru,ture,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,Contract,"OptionExpiry","Trade Daysto Expiry","FuturesPrice","ATMStraddle","Break-even","AVol","M  Impl1D Chg","ed Volatili1Wk Chg","y1Mo Chg","RealizedAvg Hist","olatility30 day",10d Put,"Implied25d Put","olatility aATM","d  Skew25d Call",10d Call
1,J22,3/30/22,7,$     5 5.05,$       4.57,$       2.30,66.4%,3.7%,-1.4%,9.4%,24.4%,38.3%,-5.9%,-3.4%,66.4%,4.4%,10.4%
2,K22,4/28/22,27,$     5 8.60,$       8.58,$       2.10,57.0%,1.0%,0.0%,9.6%,24.9%,35.5%,-5.1%,-2.7%,57.0%,5.2%,11.3%
3,M22,5/27/22,48,$     6 0.05,$     1 0.89,$       2.01,53.2%,0.2%,1.2%,6.8%,26.3%,35.3%,-6.6%,-2.8%,53.2%,5.5%,12.1%
4,N22,6/29/22,70,$     7 2.70,$     1 8.30,$       2.78,60.6%,2.7%,3.0%,15.1%,25.3%,35.0%,-11.7%,-7.0%,60.6%,7.7%,9.2%
5,Q22,7/28/22,90,$     6 8.55,$     1 9.25,$       2.57,59.5%,2.5%,3.1%,16.0%,22.3%,33.8%,-10.5%,-5.8%,59.5%,9.7%,24.2%
6,U22,8/30/22,113,$     6 2.10,$     1 6.64,$       1.98,50.7%,2.7%,2.7%,11.1%,17.7%,33.6%,-8.3%,-3.0%,50.7%,5.7%,14.8%
7,V22,9/29/22,134,$     6 1.65,$     1 6.17,$       1.77,45.6%,0.6%,-0.4%,6.4%,15.8%,30.7%,-6.6%,-2.5%,45.6%,5.0%,13.2%
8,X22,10/28/22,155,$     6 3.25,$     1 7.75,$       1.81,45.5%,0.5%,0.5%,6.5%,16.7%,31.2%,-2.0%,-1.3%,45.5%,3.8%,13.4%
9,Z22,11/29/22,176,$     7 1.00,$     2 6.00,$       2.49,55.6%,2.7%,4.6%,10.7%,24.0%,36.6%,-2.8%,-1.7%,55.6%,7.7%,21.2%
10,F23,12/29/22,197,$     9 7.00,$     6 0.68,$       5.58,91.4%,0.4%,3.9%,20.3%,34.0%,47.1%,-9.3%,-5.7%,91.4%,23.2%,34.4%
11,G23,1/30/23,217,$     9 4.35,$     6 2.05,$       5.43,91.3%,1.3%,4.8%,20.3%,39.9%,47.1%,-9.2%,-5.6%,91.3%,24.1%,35.7%
12,H23,2/27/23,236,$     5 9.45,$     2 3.67,$       1.95,52.0%,1.0%,1.9%,8.0%,25.0%,25.3%,-4.6%,-2.7%,52.0%,9.8%,24.7%
13,J23,3/30/23,259,$     4 8.80,$     1 3.40,$       1.05,34.1%,0.1%,0.7%,4.6%,16.0%,22.9%,-5.2%,-3.3%,34.1%,4.6%,8.9%
14,K23,4/27/23,278,$     4 8.80,$     1 3.46,$       1.02,33.1%,0.1%,0.7%,5.1%,15.1%,33.8%,-3.9%,-2.5%,33.1%,4.1%,9.4%
15,M23,5/30/23,300,$     4 8.80,$     1 4.00,$       1.02,33.1%,0.1%,0.5%,5.1%,15.1%,34.3%,-4.1%,-2.7%,33.1%,4.8%,9.9%
16,N23,6/29/23,322,$     5 9.95,$     2 1.43,$       1.51,40.0%,0.0%,1.0%,9.0%,16.9%,19.9%,-5.6%,-3.9%,40.0%,6.8%,25.3%
17,Q23,7/28/23,342,$     5 5.70,$     1 9.92,$       1.36,38.9%,0.0%,0.8%,8.4%,16.8%,19.9%,-5.4%,-3.8%,38.9%,6.9%,25.7%
18,U23,8/30/23,365,$     4 9.20,$     1 5.62,$       1.04,33.4%,-0.1%,1.0%,5.4%,14.2%,34.2%,-5.2%,-3.7%,33.4%,7.0%,11.7%
19,V23,9/28/23,385,$     4 8.20,$     1 5.26,$       0.98,32.4%,0.0%,0.9%,5.4%,13.3%,22.0%,-4.9%,-3.4%,32.4%,6.3%,11.0%
20,X23,10/30/23,407,$     4 9.15,$     1 6.01,$       1.00,32.4%,0.0%,0.9%,6.4%,14.1%,22.5%,-4.0%,-2.9%,32.4%,6.5%,10.5%
21,Z23,11/29/23,428,$     5 6.10,$     2 1.88,$       1.34,38.0%,0.0%,1.2%,7.4%,18.8%,23.2%,-1.2%,-0.5%,38.0%,8.3%,15.6%
22,F24,12/28/23,448,$     7 9.40,$     5 1.66,$       3.15,63.0%,0.0%,2.0%,8.0%,27.0%,#N/A,-2.4%,-1.4%,63.0%,17.3%,21.2%
23,G24,1/30/24,469,$     7 4.90,$     4 9.14,$       2.93,62.0%,0.0%,2.0%,8.0%,31.1%,#N/A,-2.4%,-1.4%,62.0%,17.3%,21.3%
24,H24,2/28/24,489,$     4 9.85,$     2 1.39,$       1.22,39.0%,0.0%,1.0%,3.0%,20.5%,#N/A,-1.7%,-0.8%,39.0%,5.1%,8.3%
