,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,NG T,rm Stru,ture,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,Contract,"OptionExpiry","Trade Daysto Expiry","FuturesPrice","ATMStraddle","Break-even","AVol","M  Impl1D Chg","ed Volatili1Wk Chg","y1Mo Chg","RealizedAvg Hist","olatility30 day",10d Put,"Implied25d Put","olatility aATM","d  Skew25d Call",10d Call
1,J22,3/28/22,5,$     4 .900,$       0.31,$     0 .144,46.6%,1.1%,-2.2%,-8.5%,26.9%,51.4%,-1.0%,-2.0%,46.6%,3.7%,7.4%
2,K22,4/26/22,25,$     4 .934,$       0.66,$     0 .155,49.8%,-1.4%,-1.7%,0.5%,36.1%,49.3%,-2.7%,-2.4%,49.8%,4.5%,9.1%
3,M22,5/25/22,46,$     4 .975,$       0.88,$     0 .159,50.7%,-0.6%,-1.1%,3.4%,34.4%,48.0%,-2.7%,-2.6%,50.7%,4.8%,10.1%
4,N22,6/27/22,68,$     5 .025,$       1.08,$     0 .160,50.5%,-0.9%,0.1%,5.0%,32.7%,46.5%,-3.5%,-2.7%,50.5%,5.2%,10.1%
5,Q22,7/26/22,88,$     5 .033,$       1.23,$     0 .160,50.6%,-1.0%,0.3%,5.7%,32.0%,46.3%,-3.8%,-3.0%,50.6%,5.5%,10.4%
6,U22,8/26/22,111,$     5 .014,$       1.37,$     0 .160,50.8%,-1.1%,0.6%,5.8%,32.6%,46.3%,-3.4%,-2.9%,50.8%,5.8%,11.3%
7,V22,9/27/22,132,$     5 .028,$       1.49,$     0 .165,52.0%,0.3%,1.4%,7.2%,33.5%,46.1%,-3.2%,-2.7%,52.0%,6.1%,12.0%
8,X22,10/26/22,153,$     5 .099,$       1.63,$     0 .168,52.2%,0.5%,0.5%,5.8%,31.7%,44.6%,-4.3%,-3.4%,52.2%,7.2%,14.7%
9,Z22,11/25/22,174,$     5 .237,$       1.90,$     0 .186,56.5%,1.0%,2.0%,6.6%,32.2%,42.7%,-6.0%,-4.7%,56.5%,11.9%,22.3%
10,F23,12/27/22,195,$     5 .329,$       2.25,$     0 .200,59.7%,-1.3%,-0.1%,6.2%,35.5%,41.6%,-9.3%,-7.1%,59.7%,14.4%,26.6%
11,G23,1/26/23,215,$     5 .151,$       2.36,$     0 .212,65.3%,2.1%,2.2%,9.5%,37.7%,39.9%,-10.7%,-8.4%,65.3%,16.5%,28.4%
12,H23,2/23/23,234,$     4 .669,$       2.20,$     0 .188,64.0%,1.6%,1.6%,9.4%,37.0%,36.5%,-9.3%,-7.4%,64.0%,19.5%,32.4%
13,J23,3/28/23,257,$     3 .688,$       1.09,$     0 .088,37.7%,0.5%,0.5%,3.5%,26.8%,14.1%,1.2%,0.4%,37.7%,0.8%,3.7%
14,K23,4/25/23,276,$     3 .593,$       1.02,$     0 .078,34.5%,0.3%,0.9%,4.7%,26.1%,12.1%,1.2%,0.5%,34.5%,0.8%,3.5%
15,M23,5/25/23,298,$     3 .629,$       1.02,$     0 .075,32.9%,0.2%,1.4%,4.6%,25.6%,11.5%,1.2%,0.3%,32.9%,0.7%,3.3%
16,N23,6/27/23,320,$     3 .673,$       1.04,$     0 .075,32.2%,0.2%,1.5%,4.5%,24.8%,11.1%,1.3%,0.4%,32.2%,0.8%,3.3%
17,Q23,7/26/23,340,$     3 .689,$       1.08,$     0 .074,32.0%,0.2%,1.4%,4.3%,24.9%,10.9%,1.3%,0.5%,32.0%,0.9%,3.6%
18,U23,8/28/23,363,$     3 .678,$       1.11,$     0 .075,32.3%,0.2%,1.5%,4.4%,25.6%,10.5%,1.3%,0.4%,32.3%,0.8%,3.6%
19,V23,9/26/23,383,$     3 .714,$       1.19,$     0 .078,33.2%,0.3%,1.6%,4.7%,26.4%,10.4%,1.2%,0.4%,33.2%,0.8%,3.7%
20,X23,10/26/23,405,$     3 .829,$       1.32,$     0 .084,34.9%,0.3%,0.4%,4.3%,25.2%,10.0%,1.0%,0.1%,34.9%,2.4%,8.3%
21,Z23,11/27/23,426,$     4 .047,$       1.53,$     0 .095,37.1%,0.1%,-0.5%,1.7%,25.3%,9.8%,1.0%,0.1%,37.1%,2.6%,8.4%
22,F24,12/26/23,446,$     4 .190,$       1.71,$     0 .102,38.8%,0.0%,-2.9%,-1.9%,27.0%,10.1%,-3.2%,-2.9%,38.8%,6.3%,6.7%
